LINESTRING (-69.64634 -17.4103, -69.72316 -17.461047)
LINESTRING (-69.72316 -17.461047, -69.819555 -17.45465)
LINESTRING (-69.819555 -17.45465, -69.849799 -17.489418)
LINESTRING (-69.849799 -17.489418, -69.942631 -17.463666)
LINESTRING (-69.942631 -17.463666, -70.066609 -17.505564)
LINESTRING (-70.066609 -17.505564, -70.07975 -17.48551)
LINESTRING (-70.07975 -17.48551, -70.0345 -17.45029)
LINESTRING (-70.0345 -17.45029, -69.97613 -17.43542)
LINESTRING (-69.97613 -17.43542, -69.91024 -17.33243)
LINESTRING (-69.91024 -17.33243, -69.857383 -17.298745)
LINESTRING (-69.857383 -17.298745, -69.796241 -17.232929)
LINESTRING (-69.796241 -17.232929, -69.73167 -17.294967)
LINESTRING (-69.73167 -17.294967, -69.693598 -17.274643)
LINESTRING (-69.693598 -17.274643, -69.64132 -17.28745)
LINESTRING (-70.269043 -17.292744, -70.305507 -17.33761)
LINESTRING (-70.305507 -17.33761, -70.363387 -17.374385)
LINESTRING (-70.363387 -17.374385, -70.411783 -17.347381)
LINESTRING (-70.411783 -17.347381, -70.33542 -17.277379)
LINESTRING (-70.33542 -17.277379, -70.303682 -17.236111)
LINESTRING (-70.303682 -17.236111, -70.269043 -17.292744)
LINESTRING (-69.796241 -17.232929, -69.857383 -17.298745)
LINESTRING (-69.857383 -17.298745, -69.91024 -17.33243)
LINESTRING (-69.91024 -17.33243, -69.97613 -17.43542)
LINESTRING (-69.97613 -17.43542, -70.0345 -17.45029)
LINESTRING (-70.0345 -17.45029, -70.07975 -17.48551)
LINESTRING (-70.07975 -17.48551, -70.090527 -17.459068)
LINESTRING (-70.090527 -17.459068, -70.086523 -17.429754)
LINESTRING (-70.086523 -17.429754, -70.042666 -17.352423)
LINESTRING (-70.042666 -17.352423, -70.011273 -17.290832)
LINESTRING (-70.011273 -17.290832, -69.965141 -17.264106)
LINESTRING (-69.965141 -17.264106, -69.929672 -17.202203)
LINESTRING (-69.929672 -17.202203, -69.8514 -17.243736)
LINESTRING (-69.8514 -17.243736, -69.796241 -17.232929)
LINESTRING (-70.43725 -17.33462, -70.411783 -17.347381)
LINESTRING (-70.411783 -17.347381, -70.363387 -17.374385)
LINESTRING (-70.363387 -17.374385, -70.400514 -17.421234)
LINESTRING (-70.400514 -17.421234, -70.345787 -17.46074)
LINESTRING (-70.345787 -17.46074, -70.428283 -17.483342)
LINESTRING (-70.428283 -17.483342, -70.446833 -17.515907)
LINESTRING (-70.446833 -17.515907, -70.508896 -17.54534)
LINESTRING (-70.508896 -17.54534, -70.556037 -17.536488)
LINESTRING (-70.556037 -17.536488, -70.603568 -17.56723)
LINESTRING (-70.603568 -17.56723, -70.649758 -17.552584)
LINESTRING (-70.649758 -17.552584, -70.631051 -17.495721)
LINESTRING (-70.631051 -17.495721, -70.703605 -17.437717)
LINESTRING (-70.703605 -17.437717, -70.760918 -17.471289)
LINESTRING (-70.760918 -17.471289, -70.78767 -17.46028)
LINESTRING (-70.78767 -17.46028, -70.735578 -17.40123)
LINESTRING (-70.735578 -17.40123, -70.752404 -17.380573)
LINESTRING (-70.752404 -17.380573, -70.715917 -17.273652)
LINESTRING (-70.715917 -17.273652, -70.684221 -17.22498)
LINESTRING (-70.684221 -17.22498, -70.609978 -17.214504)
LINESTRING (-70.609978 -17.214504, -70.572508 -17.194109)
LINESTRING (-70.572508 -17.194109, -70.454271 -17.300643)
LINESTRING (-70.454271 -17.300643, -70.43725 -17.33462)
LINESTRING (-70.772492 -17.163662, -70.816573 -17.162822)
LINESTRING (-70.816573 -17.162822, -70.862599 -17.196039)
LINESTRING (-70.862599 -17.196039, -70.900031 -17.146943)
LINESTRING (-70.900031 -17.146943, -70.870504 -17.118441)
LINESTRING (-70.870504 -17.118441, -70.791496 -17.141281)
LINESTRING (-70.791496 -17.141281, -70.772492 -17.163662)
LINESTRING (-71.440956 -17.251717, -71.490799 -17.285006)
LINESTRING (-71.490799 -17.285006, -71.534126 -17.255531)
LINESTRING (-71.534126 -17.255531, -71.576088 -17.253559)
LINESTRING (-71.576088 -17.253559, -71.690369 -17.211988)
LINESTRING (-71.690369 -17.211988, -71.77607 -17.194733)
LINESTRING (-71.77607 -17.194733, -71.838333 -17.170263)
LINESTRING (-71.838333 -17.170263, -71.756554 -17.119142)
LINESTRING (-71.756554 -17.119142, -71.659561 -17.088259)
LINESTRING (-71.659561 -17.088259, -71.56031 -17.076422)
LINESTRING (-71.56031 -17.076422, -71.478867 -17.081938)
LINESTRING (-71.478867 -17.081938, -71.419716 -17.106529)
LINESTRING (-71.419716 -17.106529, -71.325813 -17.056396)
LINESTRING (-71.325813 -17.056396, -71.302246 -17.093851)
LINESTRING (-71.302246 -17.093851, -71.440956 -17.251717)
LINESTRING (-70.303682 -17.236111, -70.33542 -17.277379)
LINESTRING (-70.33542 -17.277379, -70.411783 -17.347381)
LINESTRING (-70.411783 -17.347381, -70.43725 -17.33462)
LINESTRING (-70.43725 -17.33462, -70.36004 -17.26343)
LINESTRING (-70.36004 -17.26343, -70.34112 -17.19724)
LINESTRING (-70.34112 -17.19724, -70.369309 -17.126406)
LINESTRING (-70.369309 -17.126406, -70.35466 -17.042629)
LINESTRING (-70.35466 -17.042629, -70.30889 -17.06335)
LINESTRING (-70.30889 -17.06335, -70.28708 -17.10604)
LINESTRING (-70.28708 -17.10604, -70.30319 -17.15585)
LINESTRING (-70.30319 -17.15585, -70.303682 -17.236111)
LINESTRING (-69.929672 -17.202203, -69.965141 -17.264106)
LINESTRING (-69.965141 -17.264106, -70.011273 -17.290832)
LINESTRING (-70.011273 -17.290832, -70.042666 -17.352423)
LINESTRING (-70.042666 -17.352423, -70.106074 -17.36718)
LINESTRING (-70.106074 -17.36718, -70.147345 -17.353131)
LINESTRING (-70.147345 -17.353131, -70.128746 -17.319209)
LINESTRING (-70.128746 -17.319209, -70.093315 -17.290048)
LINESTRING (-70.093315 -17.290048, -70.114418 -17.235602)
LINESTRING (-70.114418 -17.235602, -70.099061 -17.217334)
LINESTRING (-70.099061 -17.217334, -70.095307 -17.122886)
LINESTRING (-70.095307 -17.122886, -70.070004 -17.081183)
LINESTRING (-70.070004 -17.081183, -70.073152 -17.034914)
LINESTRING (-70.073152 -17.034914, -70.046773 -17.056383)
LINESTRING (-70.046773 -17.056383, -70.039719 -17.127968)
LINESTRING (-70.039719 -17.127968, -69.987631 -17.151424)
LINESTRING (-69.987631 -17.151424, -69.929672 -17.202203)
LINESTRING (-71.756554 -17.119142, -71.838333 -17.170263)
LINESTRING (-71.838333 -17.170263, -71.892523 -17.124094)
LINESTRING (-71.892523 -17.124094, -71.877342 -17.06518)
LINESTRING (-71.877342 -17.06518, -71.829819 -17.03076)
LINESTRING (-71.829819 -17.03076, -71.789032 -17.032429)
LINESTRING (-71.789032 -17.032429, -71.792931 -17.095274)
LINESTRING (-71.792931 -17.095274, -71.756554 -17.119142)
LINESTRING (-70.35466 -17.042629, -70.369309 -17.126406)
LINESTRING (-70.369309 -17.126406, -70.34112 -17.19724)
LINESTRING (-70.34112 -17.19724, -70.36004 -17.26343)
LINESTRING (-70.36004 -17.26343, -70.43725 -17.33462)
LINESTRING (-70.43725 -17.33462, -70.454271 -17.300643)
LINESTRING (-70.454271 -17.300643, -70.572508 -17.194109)
LINESTRING (-70.572508 -17.194109, -70.527799 -17.168308)
LINESTRING (-70.527799 -17.168308, -70.491856 -17.091374)
LINESTRING (-70.491856 -17.091374, -70.449579 -17.081292)
LINESTRING (-70.449579 -17.081292, -70.460785 -16.997881)
LINESTRING (-70.460785 -16.997881, -70.401504 -16.990805)
LINESTRING (-70.401504 -16.990805, -70.35466 -17.042629)
LINESTRING (-71.829819 -17.03076, -71.877342 -17.06518)
LINESTRING (-71.877342 -17.06518, -71.892523 -17.124094)
LINESTRING (-71.892523 -17.124094, -71.948502 -17.067627)
LINESTRING (-71.948502 -17.067627, -71.852364 -16.961698)
